,tb_latitude,tb_longitude,collision_severity,type_of_collision,mviw,ped_action,DRIVE_DANGER_SCORE,WALK_DANGER_SCORE,AVERAGE_SCORE
216,37.787898606,-122.418450881,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
217,37.7786320383,-122.43176322,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
218,37.7534315914,-122.425302616,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
219,37.7471195043,-122.481350516,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
220,37.7706601752,-122.426780766,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
221,37.7662050073,-122.419780098,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
222,37.7437849041,-122.501535726,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
223,37.7598430049,-122.502662093,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
224,37.7881345024,-122.390319484,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
225,37.7656058389,-122.410486689,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,1,6,3.5
226,37.7436429308,-122.504752583,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
227,37.7861349095,-122.449980161,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,No Pedestrian Involved,0,0,0.0
228,37.7897625986,-122.397574468,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
229,37.7831383825,-122.393693791,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
230,37.7361135534,-122.406663582,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
231,37.7133670527,-122.400228667,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
232,37.7486475076,-122.476033099,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
233,37.7642602154,-122.38985196,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
234,37.7142094836,-122.436176465,Injury (Other Visible),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
235,37.7124280751,-122.402816973,Injury (Other Visible),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
236,37.784572781,-122.469907857,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
237,37.7902474047,-122.400555264,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
238,37.7749919479,-122.437798747,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
239,37.7269798322,-122.393570157,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
240,37.7785419107,-122.415036216,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
241,37.7142094836,-122.436176465,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
242,37.7396962213,-122.419565741,Injury (Other Visible),Head-On,Motor Vehicle on Other Roadway,No Pedestrian Involved,5,0,2.5
243,37.7841453415,-122.410917473,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
244,37.7922626192,-122.436203508,Injury (Complaint of Pain),Not Stated,Not Stated,No Pedestrian Involved,0,0,0.0
245,37.7967988649,-122.405129319,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
246,37.7727280128,-122.480723173,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
247,37.78383348,-122.486088706,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
248,37.7194811197,-122.447562063,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
249,37.7591339593,-122.410758543,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
250,37.7931138177,-122.400706415,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
251,37.777599279,-122.455216942,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
252,37.7891101758,-122.417016878,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
253,37.7775867677,-122.440026922,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
254,37.769867698,-122.422364818,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
255,37.7813903699,-122.409235685,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
256,37.8056184799,-122.413604168,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
257,37.7875481397,-122.421758104,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
258,37.773036051,-122.421941248,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
259,37.7731389478,-122.471762123,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
260,37.7858929011,-122.419738734,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
261,37.7983001647,-122.425616756,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
262,37.7719428354,-122.446799868,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
263,37.7616932933,-122.477149189,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
264,37.754507285,-122.432165929,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
265,37.7783285639,-122.426641498,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
266,37.7856730421,-122.459247014,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
267,37.748358189,-122.40959981,Injury (Other Visible),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
268,37.7790777641,-122.51218342,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,1,8,4.5
269,37.7862043564,-122.439866452,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
270,37.7861010397,-122.418088098,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
271,37.7647834522,-122.424102684,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
272,37.7860675323,-122.392936685,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
273,37.7982229714,-122.403863018,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
274,37.7640760195,-122.508331369,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
275,37.7896204372,-122.420493442,Injury (Complaint of Pain),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
276,37.7861795834,-122.440061199,Injury (Other Visible),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
277,37.7787241079,-122.438552277,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
278,37.7921084027,-122.400933082,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
279,37.7886969402,-122.435485564,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
280,37.7843186737,-122.439684679,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
281,37.7858929011,-122.419738734,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
282,37.7726175573,-122.387086495,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
283,37.7896204372,-122.420493442,Injury (Complaint of Pain),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
284,37.7770524629,-122.496342158,Injury (Other Visible),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
285,37.7817543276,-122.409693261,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
286,37.7343421098,-122.483775252,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
287,37.7857844885,-122.428148187,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
288,37.7750206963,-122.422598043,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
289,37.7254756503,-122.394243493,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
290,37.7797827942,-122.430233236,Injury (Other Visible),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,5,0,2.5
291,37.7323768426,-122.386699265,Injury (Other Visible),Head-On,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
292,37.7245331715,-122.459212804,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
293,37.7698542165,-122.422589485,Injury (Severe),Rear End,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
294,37.7650296547,-122.417471911,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
295,37.7750386172,-122.413219746,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
296,37.7870379483,-122.41827098,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
297,37.7287317828,-122.434478649,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
298,37.7189555588,-122.500220954,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
299,37.7449699146,-122.391951943,Injury (Other Visible),Head-On,Other Object,No Pedestrian Involved,3,0,1.5
300,37.7804396371,-122.477239889,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
301,37.7805271611,-122.396845822,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
302,37.7518417848,-122.425152542,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
303,37.7887077647,-122.420238519,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
304,37.7499151592,-122.393340266,Injury (Severe),Head-On,Not Stated,No Pedestrian Involved,0,0,0.0
305,37.7641957132,-122.433074471,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
306,37.7852370184,-122.439876599,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
307,37.7926386565,-122.404418428,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
308,,,Injury (Complaint of Pain),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
309,37.7820447442,-122.472483167,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
310,37.7697354541,-122.448566172,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
311,37.7309756183,-122.406085975,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
312,37.7751381638,-122.45842827,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
313,37.7752720602,-122.415908179,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
314,37.7881345024,-122.390319484,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
315,37.7213968692,-122.448410648,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
316,37.8055811386,-122.443983518,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
317,37.7350324877,-122.500337232,Injury (Other Visible),Rear End,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
318,37.7122684186,-122.401852829,Fatal,Not Stated,Fixed Object,No Pedestrian Involved,5,0,2.5
319,37.7629951661,-122.48998391,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
320,37.7195581059,-122.395431475,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
321,37.7603010614,-122.418118118,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
322,37.7843492694,-122.409309181,Injury (Complaint of Pain),Not Stated,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
323,37.7601475536,-122.420659534,Injury (Complaint of Pain),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
324,37.7808210481,-122.422086793,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
325,37.7782510174,-122.419883231,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
326,37.7743252876,-122.417104136,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
327,37.7292453199,-122.370910551,Injury (Severe),Head-On,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
328,37.784572781,-122.469907857,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
329,37.7152977968,-122.445835077,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
330,37.7749917333,-122.471895865,Injury (Other Visible),Not Stated,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
331,37.7632433229,-122.422698659,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
332,37.7124620471,-122.467159299,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
333,37.7760376014,-122.436297796,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
334,37.7563015179,-122.414445565,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
335,37.7904610675,-122.396689695,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
336,37.7792116854,-122.410936574,Injury (Severe),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
337,37.7752915443,-122.427929274,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
338,37.7913109711,-122.392524623,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
339,37.777599279,-122.455216942,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
340,37.7797930165,-122.41020049,Injury (Other Visible),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,5,0,2.5
341,37.7944932521,-122.397331268,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
342,37.7882931938,-122.40840155,Injury (Complaint of Pain),Sideswipe,Pedestrian,"In Road, Including Shoulder",0,3,1.5
343,37.729712003,-122.433419948,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
344,37.7639756785,-122.412992854,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
345,37.7861795834,-122.440061199,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
346,37.7572976441,-122.414541468,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
347,37.7936177736,-122.392690685,Injury (Severe),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
348,37.7795844376,-122.416768093,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
349,37.7205980428,-122.446676606,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
350,37.7455619389,-122.45189677,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
351,37.7861817556,-122.440044117,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
352,37.7929652155,-122.399908638,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
353,37.7872402548,-122.409159737,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
354,37.7607581077,-122.437190627,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
355,37.7885359306,-122.396034766,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not Stated,0,3,1.5
356,37.750181293,-122.387576861,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
357,37.7797885273,-122.415126955,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
358,37.7659246625,-122.46644249,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
359,37.7542769326,-122.406452616,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
360,37.7794587157,-122.402377492,Injury (Complaint of Pain),Broadside,Other Object,No Pedestrian Involved,1,0,0.5
361,37.7656058386,-122.410486689,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
362,37.7794387678,-122.405529691,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
363,37.7822123125,-122.480590017,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
364,37.7686481276,-122.40292681,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
365,37.783087442,-122.461207475,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
366,37.7847315421,-122.388077992,Injury (Complaint of Pain),Overturned,Fixed Object,No Pedestrian Involved,1,0,0.5
367,37.7684601697,-122.394880603,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
368,37.7489737828,-122.419246641,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
369,37.7489737828,-122.419246641,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
370,37.7968082187,-122.395673655,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
371,37.77965963,-122.438740183,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
372,37.7983727036,-122.410456158,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
373,37.774991792,-122.41006277,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
374,37.7310030175,-122.457462274,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
375,37.7861384432,-122.456713409,Injury (Other Visible),Not Stated,Not Stated,Not Stated,0,0,0.0
376,37.7683537206,-122.407813487,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
